,post_from,post_id,post_name,post_type,post_message,post_link,post_shares,created_time
57,262755230730537,262755230730537_542567792749278,Chow fan,video,"El sabor de la comida china llega a tu mesa! 

Animate a nuevos sabores y proba el CHOW FAN: con vegetales, carre de cerdo y arroz podes disfrutar de un plato increible! #Cucinare",https://www.facebook.com/cucinareok/videos/542567792749278/,,2017-11-14 11:03:36
58,262755230730537,262755230730537_542495509423173,Un postre unico: torre de crepes de cacao,video,"Tiembla la chocotorta: la torre de crepes te sumerge un un mundo unico de sabor 
#Cucinare #Postres #RecetasParaCompartir

Te animas a probarla?",https://www.facebook.com/cucinareok/videos/542495509423173/,,2017-11-14 07:47:22
59,262755230730537,262755230730537_542241139448610,Mollejas al limon con alioli,video,"En #CucinareTV te traemos una receta espectacular: mollejas al limon con alioli! 

Descubri como preparar este plato y que te quede increiblemente rico. Te sumas?",https://www.facebook.com/cucinareok/videos/542241139448610/,,2017-11-13 23:00:00
60,262755230730537,262755230730537_542217059451018,Tan prestigioso como polemico: secretos del Worlds 50 Best Restaurants,link,El ascendente listado que califica a los mejores restaurantes del mundo tiene un sistema de eleccion tan controvertido como interesante. Te contamos TODOS los detalles.,https://www.cucinare.tv/2017/11/13/tan-prestigioso-como-polemico-secretos-del-worlds-50-best-restaurants-el-ranking-gastronomico-que-marca-tendencia/,,2017-11-13 20:01:00
61,262755230730537,262755230730537_542204149452309,"Arrollado de ave, espinaca y tomates secos",video,"Recetas simples, ricas y sencillas? 

Esta es la solucion! Animate a preparar un buen arrollado de ave  #Cucinare #RecetasParaCompartir",https://www.facebook.com/cucinareok/videos/542204149452309/,,2017-11-13 19:00:00
62,262755230730537,262755230730537_542209702785087,Pull to pool: el trago con frutos rojos que vas a amar,link,"Es hora de disfrutar de un buen trago! 

Ademas, te mostramos como preparar tu propia azucar impalpable. #TipLiliana Moler el azucar para que quede mas polvo. Sirve para decoracion.",https://www.cucinare.tv/receta/dos-opciones-facilisimas-para-acompanar-lo-mejor-del-finger-food/,,2017-11-13 18:00:00
63,262755230730537,262755230730537_542203669452357,Palito helado de chocotorta,video,"Hay palito, bombon, heladooooo 

Con este calorcito que mejor que llegar a tu casa y prepararte esta BOMBAAA!  #Chocotorta #Cucinare",https://www.facebook.com/cucinareok/videos/542203669452357/,,2017-11-13 15:00:00
64,262755230730537,262755230730537_542135522792505,Torre de aros de cebolla con barbacoa,video,"PLATO ANTI LUNES! 

Nada de dietas, mejor sonrei disfrutando de estos INCREIBLES AROS DE CEBOLLA  #Cucinare

Etiqueta a ese amigo que queres tentar!",https://www.facebook.com/cucinareok/videos/542135522792505/,,2017-11-13 11:04:03
65,262755230730537,262755230730537_542046002801457,Cucinare: Tiramisu de dulce de leche,video,"Arrancar el #lunes con algo bien DULCE es la clave para tener una buena semana  

Pensalo mientras disfrutas este TIRAMISU DE DULCE DE LECHE #Cucinare",https://www.facebook.com/cucinareok/videos/542046002801457/,,2017-11-13 07:49:03
66,262755230730537,262755230730537_540737269598997,El nuevo pedido de algunos cocineros: basta de fotografiar mis platos para Instagram!,link,"Y vos, de que lado estas en esta grieta? Le sacas fotos a la comida antes de probarla?",https://www.cucinare.tv/2017/11/08/el-nuevo-pedido-de-algunos-cocineros-basta-de-fotografiar-mis-platos-para-instagram/,,2017-11-12 20:02:00
67,262755230730537,262755230730537_540793099593414,Croquetas de papa y tomates secos,video,"Las clasicas croquetas de papa ya fueron! 

Con este toque te van a quedar MUUUCHO MAS RICAS y te vas a llevar todos los aplausos de tus amigos  #Cucinare #RecetasParaCompartir",https://www.facebook.com/cucinareok/videos/540793099593414/,,2017-11-12 18:30:00
68,262755230730537,262755230730537_540799832926074,Pastafrola de batata,video,"El domingo es un dia ideal para preparar una buena pastafrola y comer hasta la ultima miguita 

Para vos, que va? 
1- MEMBRILLO 
2- BATATA

 #Cucinare #RecetasParaCompartir",https://www.facebook.com/cucinareok/videos/540799832926074/,,2017-11-12 15:00:00
69,262755230730537,262755230730537_540803196259071,Tagliatelles de colores con salsa carbonara,video,"Es hora de amasar!

Prepara tus propios #TAGLIATELLES de colores con una buena salsa casera: hoy toca salsa carbonara! #Cucinare #DiaDePastas",https://www.facebook.com/cucinareok/videos/540803196259071/,,2017-11-12 11:00:00
70,262755230730537,262755230730537_540791949593529,Pan de especias,video,"PAN DE ESPECIAS 

Una opcion diferente para empezar el dia #Cucinare #RecetasParaCompartir",https://www.facebook.com/cucinareok/videos/540791949593529/,,2017-11-12 08:00:00
71,262755230730537,262755230730537_540784159594308,Pizzanesa,video,Milanesa + pizza = marche una buena PIZZANESA!  #Cucinare,https://www.facebook.com/cucinareok/videos/540784159594308/,,2017-11-11 18:30:00
72,262755230730537,262755230730537_539871603018897,"La ruta portena del noodle, los fideos con mas onda",link,"Si pensas que Buenos Aires es sushi y nada mas, estas MUY equivocado...",https://www.cucinare.tv/2017/11/06/la-ruta-portena-del-noodle-los-fideos-con-mas-onda/,,2017-11-11 16:32:00
73,262755230730537,262755230730537_540785382927519,Camembert con castanas y caramelo,video,"Camembert + castanas + caramelo, la suma perfecta para disfrutar un gran queso de una manera muy creativa. #Cucinare #RecetasParaCompartir",https://www.facebook.com/cucinareok/videos/540785382927519/,,2017-11-11 15:00:00
74,262755230730537,262755230730537_540786052927452,Lengua a la vinagreta y provenzal,video,"Como preparar la MEJOR lengua a la vinagreta y provenzal? 

Te dejamos todos los tips para que te luzcas!  #Cucinare",https://www.facebook.com/cucinareok/videos/540786052927452/,,2017-11-11 11:00:01
75,262755230730537,262755230730537_540783069594417,Torta marmolada,video,"Bizcochuelo de chocolate y vainilla, un clasico genial para disfrutar con el mate

#Cucinare #Postres #Tortas #RecetasCaseras",https://www.facebook.com/cucinareok/videos/540783069594417/,,2017-11-11 08:00:00
76,262755230730537,262755230730537_540934582912599,,video,"Suma esta opcion a la picada con tus amigos!  En #CucinareTV te proponemos un nuevo sabor para que disfrutes con las bruschettas: #HUMMUS

Es tan facil de preparar como rico! ",https://www.facebook.com/cucinareok/videos/540934582912599/,,2017-11-10 23:03:01
77,262755230730537,262755230730537_540780676261323,Empanadas fritas de carne cortada a cuchillo,video,"Hoy salen unas BUENAS #EMPANADAS FRITAS DE CARNE

Espectaculaaaaar!  Con este clasico te vas a llevar los aplausos de tus amigos #Cucinare #RecetasClasicas",https://www.facebook.com/cucinareok/videos/540780676261323/,,2017-11-10 19:00:00
78,262755230730537,262755230730537_540805652925492,Brochettes: Dos salsas muy sabrosas,link,"Prepara el lomo y el pollo para este plato tan facil como rico!

#TipLiliana Para que el alioli te quede cremoso, agregarle un chorrito de jugo de limon antes de terminar de procesarlo.",https://www.cucinare.tv/receta/un-duo-de-salsas-muy-sabrosas-compania-ideal-para-estas-clasicas-brochettes-mixtas/,,2017-11-10 17:30:00
